1	Fluid mechanics	意味: 流体力学\nアクセント: FLU-id mə-KAN-iks\n類義語: hydrodynamics, fluid dynamics, continuum mechanics	audio/001_fluid_mechanics.mp3
2	liquids	意味: 液体（複数）\n基本形: liquid\nアクセント: LIK-wid\n類義語: fluids, solutions, liquids phase	audio/002_liquids.mp3
3	behave	意味: 振る舞う；作用する\nアクセント: bi-HAYV\n類義語: act, function, respond	audio/003_behave.mp3
4	veins	意味: 静脈；脈状の筋\n基本形: vein\nアクセント: VAYN\n類義語: vessels, channels, streaks	audio/004_veins.mp3
5	solid objects	意味: 固体の物体\nアクセント: SOL-id OB-jekts\n類義語: rigid bodies, solids, hard objects	audio/005_solid_objects.mp3
6	shape	意味: 形；形作る\nアクセント: SHAYP\n類義語: form, contour, mold	audio/006_shape.mp3
7	take the shape	意味: 形をとる\nアクセント: tayk thə SHAYP\n類義語: conform to, assume form, fit into	audio/007_take_the_shape.mp3
8	container	意味: 容器\nアクセント: kən-TAY-nər\n類義語: vessel, receptacle, holder	audio/008_container.mp3
9	fluid	意味: 流体；流動的な\nアクセント: FLU-id\n類義語: liquid, flowing matter, medium	audio/009_fluid.mp3
10	predict	意味: 予測する\nアクセント: pri-DIKT\n類義語: forecast, anticipate, project	audio/010_predict.mp3
11	fluid flow	意味: 流体の流れ\nアクセント: FLU-id floh\n類義語: flow regime, stream motion, current	audio/011_fluid_flow.mp3
12	laminar flow	意味: 層流\nアクセント: LAM-ə-nər floh\n類義語: streamline flow, smooth flow, layered flow	audio/012_laminar_flow.mp3
13	orderly	意味: 整然とした\nアクセント: OR-dər-lee\n類義語: organized, systematic, regular	audio/013_orderly.mp3
14	turbulent flow	意味: 乱流\nアクセント: TUR-byə-lənt floh\n類義語: chaotic flow, eddying flow, irregular flow	audio/014_turbulent_flow.mp3
15	chaotic	意味: 混沌とした\nアクセント: kay-OT-ik\n類義語: disorderly, random, unstable	audio/015_chaotic.mp3
16	swirling	意味: 渦巻く\nアクセント: SWUR-ling\n類義語: whirling, eddying, spiraling	audio/016_swirling.mp3
17	applies	意味: 適用される；当てはまる\n基本形: apply\nアクセント: ə-PLY\n類義語: pertains, relates, is relevant	audio/017_applies.mp3
18	surfaces	意味: 表面（複数）\n基本形: surface\nアクセント: SUR-fis\n類義語: exteriors, interfaces, outer layers	audio/018_surfaces.mp3
19	lift off	意味: 離陸する；浮き上がる\nアクセント: lift AWF\n類義語: take off, rise, launch	audio/019_lift_off.mp3
20	lets us shower	意味: 私たちがシャワーを使えるようにする\nアクセント: lets us SHOU-ər\n類義語: enables bathing, allows rinsing, provides showering	audio/020_lets_us_shower.mp3
21	buoyancy	意味: 浮力\nアクセント: BOY-ən-see\n類義語: uplift, floatation, upthrust	audio/021_buoyancy.mp3
22	fluids	意味: 流体（複数）\n基本形: fluid\nアクセント: FLU-idz\n類義語: liquids, gases, flow media	audio/022_fluids.mp3
23	push up	意味: 押し上げる\nアクセント: push UP\n類義語: raise, lift, thrust upward	audio/023_push_up.mp3
24	on objects	意味: 物体に対して\nアクセント: on OB-jekts\n類義語: upon bodies, on items, on materials	audio/024_on_objects.mp3
25	forecasting	意味: 予報；予測\nアクセント: FOR-kas-ting\n類義語: prediction, projection, outlook	audio/025_forecasting.mp3
26	predicting	意味: 予測すること\nアクセント: pri-DIK-ting\n類義語: forecasting, anticipating, estimating	audio/026_predicting.mp3
27	plays a big role	意味: 大きな役割を果たす\nアクセント: playz ə BIG-ər rohl\n類義語: is crucial, is significant, matters greatly	audio/027_plays_a_big_role.mp3
28	In short	意味: 要するに\nアクセント: in SHORT\n類義語: briefly, in summary, to sum up	audio/028_in_short.mp3
29	invisible	意味: 目に見えない\nアクセント: in-VIZ-ə-bəl\n類義語: unseen, imperceptible, hidden	audio/029_invisible.mp3
