id	chapter	word	meaning	frequency
1	1	confirm	確認する；裏付ける	6
6	1	behavior	行動；ふるまい	4
11	1	distribution	分配、流通、配布	4
16	1	nutrients	栄養素	4
21	1	assignment	課題、任務、割り当て	3
26	1	describe	説明する；描写する	3
31	1	habitat	生息地	3
36	1	noticeable	目立つ；気づきやすい	3
41	1	reliable	信頼できる；頼りになる	3
46	1	supplies	供給品；供給する	3
51	1	vulnerable	傷つきやすい；無防備な	3
56	1	acceptable	受け入れられる；許容できる	2
61	1	anemophily	風媒；風による受粉	2
66	1	approval	承認、賛成、許可	2
71	1	awareness	気づき；認識	2
76	1	cognition	認知；認識	2
81	1	concern	心配；懸念；関係する	2
86	1	consider	考慮する、検討する	2
91	1	coordinating	調整している、まとめている	2
96	1	detects	検知する；発見する	2
101	1	dove	ハト（平和の象徴）	2
106	1	encounter	出会う；遭遇する	2
111	1	Ethical	倫理的な	2
116	1	expires	期限が切れる；失効する	2
121	1	fair	公平な	2
126	1	feed	餌を与える；供給する	2
131	1	fluidity	流動性	2
136	1	grain	粒；穀物	2
141	1	harmful	有害な	2
146	1	inclusive	包括的な、包摂的な	2
151	1	inform	知らせる；通知する	2
156	1	integrity	完全性；健全性	2
161	1	leaky	漏れやすい	2
166	1	molecules	分子	2
171	1	otherwise	さもなければ；それ以外は	2
176	1	perspectives	視点、観点	2
181	1	presence	存在；出席	2
186	1	proposed	提案した；提案された	2
191	1	recognize	認識する；見分ける	2
196	1	remaining	残っている	2
201	1	reserve	予約する；確保する	2
206	1	seed	種；種をまく	2
211	1	shipping	出荷；配送	2
216	1	stiff	硬い；こわばった	2
221	1	take turns	交代で行う；順番にする	2
226	1	tropics	熱帯地域	2
231	1	unsure	確信がない；不安な	2
236	1	whether	〜かどうか	2
241	1	a cascade of	一連の；連鎖的な	1
246	1	abnormally	異常に；正常でなく	1
251	1	accommodating	配慮のある；融通の利く	1
256	1	accuracy	正確さ；精度	1
261	1	additional	追加の；さらなる	1
266	1	adjustments to	〜への調整；〜の修正	1
271	1	affairs	事柄；情勢	1
276	1	aiming	狙っている、目指している	1
281	1	along	〜に沿って；いっしょに	1
286	1	amounts of	〜の量；多量の	1
291	1	annoying	いらいらさせる；うっとうしい	1
296	1	appear	現れる；〜のように見える	1
301	1	appointment	予約；約束	1
306	1	aquatic life	水生生物	1
311	1	arranging	整理すること；手配すること	1
316	1	as long as	〜する限り、〜である限り	1
321	1	assemblies	集会；議会；組み立て品	1
326	1	attach to	〜に付着する；〜に取り付ける	1
331	1	attitude	態度；考え方	1
336	1	balance A with B	AとBのバランスを取る	1
341	1	basement	地下室	1
346	1	be required	必要とされる；義務づけられる	1
351	1	benefits policies	福利厚生方針；給付制度	1
356	1	boundaries	境界；限界	1
361	1	brushwork	筆致；筆づかい	1
366	1	buried	埋められた；埋葬された	1
371	1	by following	〜に従うことで	1
376	1	carbon dioxide gas	二酸化炭素ガス	1
381	1	carve	彫る；刻む	1
386	1	celestial	天体の；天空の	1
391	1	centers	中心を置く；集中させる	1
396	1	Charitable	慈善の；寛大な	1
401	1	circadian rhythms	概日リズム；体内時計の周期	1
406	1	civilization	文明；文明社会	1
411	1	clarifying	明確にしている、説明している	1
416	1	closer	より近い；より近く	1
421	1	coastline	海岸線	1
426	1	colide	衝突する	1
431	1	come to(段々するようになる)	次第に〜するようになる	1
436	1	compaction	圧密；圧縮	1
441	1	complicate	複雑にする；ややこしくする	1
446	1	comprehension	理解；把握	1
451	1	conducted	伝導された；実施された	1
456	1	configure	設定する；構成する	1
461	1	confusion	混乱；困惑	1
466	1	conserve soil and protect remaining resources	土壌を保全し、残りの資源を守る	1
471	1	consistent	一貫した；矛盾しない	1
476	1	contemporary	現代の；同時代の	1
481	1	contract	契約（名詞）；契約する（動詞）	1
486	1	conversation tables	会話テーブル；会話練習の場	1
491	1	cope	うまく対処する；切り抜ける	1
496	1	crops	作物	1
501	1	cues(合図)	合図；きっかけ	1
506	1	curved figures	曲線的な図形	1
511	1	deal with	対処する；扱う	1
516	1	decisions	決定；判断	1
521	1	defecation	排便；排泄	1
526	1	demands of	〜の要求	1
531	1	depart from	〜から逸脱する；〜を出発する	1
536	1	depth	深さ；奥行き	1
541	1	detect	検知する、見つける	1
546	1	digest	消化する；理解する	1
551	1	disappointed	失望した；がっかりした	1
556	1	dispersing	分散させること；散らばること	1
561	1	dissolves	溶ける；溶かす	1
566	1	distinguish	区別する；見分ける	1
571	1	diversified	多様化した	1
576	1	domesticate	飼いならす；家畜化する	1
581	1	drawback	欠点；不利な点	1
586	1	drives the process of	〜の過程を進める；〜を動かしている	1
591	1	duties	義務；職務	1
596	1	ecological	生態学的な；環境の	1
601	1	efforts	努力；取り組み	1
606	1	elevations	標高；高度	1
611	1	emphasize	強調する	1
616	1	encouraged	励ました；促進した	1
621	1	enhance	高める；向上させる	1
626	1	Enroll	登録する；履修登録する	1
631	1	equips	備えさせる；身につけさせる	1
636	1	essentially	本質的に；要するに	1
641	1	ever since	それ以来ずっと	1
646	1	examining	調査している；詳しく調べること	1
651	1	excitement	興奮；わくわく感	1
656	1	existing beliefs	既存の信念；すでに持っている思い込み	1
661	1	expense	費用；出費	1
666	1	exploing	探求すること（exploring の綴り揺れ）	1
671	1	extends	広がる；及ぶ	1
676	1	extraordinary	並外れた；非常に優れた	1
681	1	facility	施設；設備	1
686	1	familiar phenomena	身近な現象	1
691	1	feeding	摂食、えさをとること	1
696	1	Fibroblasts	線維芽細胞	1
701	1	find(感じる)	感じる；〜と思う	1
706	1	flora	植物相；植物群	1
711	1	force	強いる	1
716	1	formal	形式的な；正式な	1
721	1	fostering	育むこと；促進すること	1
726	1	frequent	頻繁な	1
731	1	fulfill	果たす；実現する；満たす	1
736	1	gather data	データを収集する	1
741	1	geometric	幾何学的な	1
746	1	gradually	徐々に；少しずつ	1
751	1	grocery	食料品；食料品店	1
756	1	hallway	廊下	1
761	1	harms	害；損害	1
766	1	head over	～へ向かう	1
771	1	heartburn	胸やけ	1
776	1	hinges on	〜にかかっている	1
781	1	household	家庭、世帯	1
786	1	Hydraulic	水力の；液圧の	1
791	1	identification	身元確認；識別	1
796	1	implications	含意、影響、示唆	1
801	1	in person	直接会って；対面で	1
806	1	increasingly	ますます；次第に	1
811	1	infection	感染；感染症	1
816	1	ingredients	成分；材料	1
821	1	initiative	主導性；自発性	1
826	1	insomnia	不眠症	1
831	1	instinctive	本能的な；直感的な	1
836	1	insulation materials	断熱材	1
841	1	interactive	双方向の；対話的な	1
846	1	inventory	在庫；目録	1
851	1	involve	含む；伴う；巻き込む	1
856	1	irrelevant	無関係な；重要でない	1
861	1	just in case	念のため；万が一に備えて	1
866	1	Kinship	親族関係；血縁	1
871	1	last-minute	直前の；土壇場の	1
876	1	launching	開始；立ち上げ	1
881	1	legal codes	法典；法律の規定	1
886	1	lie in	〜にある；〜に存する	1
891	1	likelihood	可能性；見込み	1
896	1	lit(lightの過去分詞)	明るくされた；照らされた	1
901	1	lost and found	遺失物取扱所	1
906	1	mail carrier	郵便配達員	1
911	1	make sense	意味をなす；理にかなう	1
916	1	mark A as B	AをBとして記入する；AをBとみなして印を付ける	1
921	1	matter(重要である)	重要である；問題になる	1
926	1	membranes	膜	1
931	1	minimize	最小限にする	1
936	1	momentarily	一時的に；しばらくの間	1
941	1	mountain passes	山道；峠道	1
946	1	mutuality	相互関係；相互性	1
951	1	none of the bins	ごみ箱はどれもない；ごみ箱のいずれも	1
956	1	not up for it	それをする気がない、乗り気ではない	1
961	1	notify	知らせる；通知する	1
966	1	observable	観察可能な；目に見える	1
971	1	on the upside	良い面では	1
976	1	opportunity	機会；好機	1
981	1	ordinary	普通の；ありふれた	1
986	1	organizing committee	実行委員会；組織委員会	1
991	1	outsider	部外者、外部の人	1
996	1	overtime	時間外労働；残業	1
1001	1	paperwork	書類仕事；事務手続き	1
1006	1	participate	参加する	1
1011	1	passing through	通り抜ける、通過する	1
1016	1	peer-led	仲間主導の	1
1021	1	perishable	傷みやすい；腐りやすい	1
1026	1	phospholipid	リン脂質；細胞膜の構成物質	1
1031	1	physical laws	物理法則	1
1036	1	plaques	歯垢（複数）；プラーク	1
1041	1	pods(さや)	さや；豆果	1
1046	1	pollen	花粉	1
1051	1	poses a problem	問題を引き起こす	1
1056	1	praise	称賛する；称賛	1
1061	1	predictable	予測可能な	1
1066	1	prescription	処方箋、処方	1
1071	1	prevent	防ぐ；妨げる	1
1076	1	principled	信念のある；倫理に基づく	1
1081	1	processed	処理された；加工された	1
1086	1	promoted	昇進させた；促進した	1
1091	1	proud	誇りに思う；自尊心のある	1
1096	1	punishments	罰；処罰	1
1101	1	quarterly	四半期ごとの	1
1106	1	reaching	到達すること	1
1111	1	reciprocal	相互の；相手方の；逆数	1
1116	1	refer to A as B	AをBと呼ぶ	1
1121	1	regular	規則的な；定期的な	1
1126	1	reject	拒絶する；却下する	1
1131	1	rely	頼る、依存する	1
1136	1	repair person	修理工、修理業者	1
1141	1	replenish	補充する；回復させる	1
1146	1	requirements	要件；必要条件	1
1151	1	resists	抵抗する；耐える	1
1156	1	restrict	制限する；限定する	1
1161	1	revise	修正する；見直す	1
1166	1	rigorous	厳格な；厳しい	1
1171	1	roll out	展開する；導入する	1
1176	1	salmon	サケ	1
1181	1	screening	選考；上映；検査	1
1186	1	seemingly	一見すると、見たところ	1
1191	1	sense of unity	一体感、結束感	1
1196	1	serves	仕える；役立つ；提供する	1
1201	1	several distinct	いくつかの明確に異なる	1
1206	1	shells	貝殻；殻	1
1211	1	signatures	特徴的なしるし、署名	1
1216	1	snap	ぱちんと折れる；急に怒る；写真を撮る	1
1221	1	solids	固体	1
1226	1	specialization	専門化；専門分野	1
1231	1	spontaneous	自発的な；自然発生的な	1
1236	1	steer	操縦する、進路を取る	1
1241	1	sticky	ねばつく；べたつく	1
1246	1	strengthen	強化する；強くする	1
1251	1	Study cubicles	個別学習ブース；仕切られた学習席	1
1256	1	supply room	備品室；物品保管室	1
1261	1	survival	生存	1
1266	1	swapp	交換する（swap の綴り違いの可能性）	1
1271	1	tailored(条件に合わせられた)	条件に合わせた；特注の	1
1276	1	tastes	好み；味覚	1
1281	1	that could help	それが役に立つかもしれない	1
1286	1	thermal	熱の；温度に関する	1
1291	1	Through this experience	この経験を通じて	1
1296	1	time slot	時間枠；予定された時間帯	1
1301	1	tissue remodeling	組織再構築	1
1306	1	tossing	投げること；放り込むこと	1
1311	1	transcript	成績証明書；記録文書	1
1316	1	tropical forests	熱帯林	1
1321	1	uncertainty	不確実性；不安	1
1326	1	unexpected	予期しない；不意の	1
1331	1	unusual	珍しい；普通でない	1
1336	1	urbanization	都市化	1
1341	1	variations in	〜における変動；〜の違い	1
1346	1	verify	検証する；確認する	1
1351	1	vital	極めて重要な；生命に関わる	1
1356	1	wakeful	目が覚めている；眠れない	1
1361	1	water(水をかける)	水をかける；水やりする	1
1366	1	weekdays	平日	1
1371	1	whenever	〜するときはいつでも	1
1376	1	wonder	不思議に思う；驚嘆する；驚異	1
1381	1	wound healing	創傷治癒	1
2	2	absorb	吸収する	5
7	2	certain	ある特定の；確かな	4
12	2	encourage	励ます；促す	4
17	2	perception	知覚；認識	4
22	2	beneath	〜の下に	3
27	2	distribute	配布する；分配する	3
32	2	harsh	厳しい；過酷な	3
37	2	over time	時間とともに	3
42	2	relieved	安心した；ほっとした	3
47	2	supply	供給；供給する	3
52	2	weathering	風化	3
57	2	advertising	広告；広告活動	2
62	2	annual	年1回の；毎年の	2
67	2	arrangement	取り決め；配置	2
72	2	belonging	所属感；持ち物	2
77	2	collide	衝突する	2
82	2	conduct	伝導する；実施する	2
87	2	considerable	かなりの；相当な	2
92	2	define	定義する；明確にする	2
97	2	discomfort	不快感；苦痛	2
102	2	drowsy	眠い、うとうとした	2
