doctrine	意味: 教義；主義；学説\nアクセント: DŎK-trĭn\n類義語: principle, tenet, belief
explains complex phenomena	意味: 複雑な現象を説明する\n類義語: accounts for complex events, clarifies intricate occurrences, describes complex processes
aggregates of fixed particles or units	意味: 固定された粒子や単位の集合体\nアクセント: ĂG-rĭ-gĭts\n類義語: collections of particles, assemblages of units, groups of fixed elements
application	意味: 適用；応用；申請\nアクセント: ăp-lĭ-KĀ-shən\n類義語: use, implementation, practice
according to	意味: 〜によれば；〜に従って\n類義語: as stated by, in accordance with, as per
the material universe	意味: 物質的な宇宙；物理的な宇宙\n類義語: the physical world, the tangible cosmos, the corporeal universe
be composed of minute particles	意味: 微小な粒子から構成されている\nアクセント: mī-ŪT / MĬN-ĭt\n類義語: consist of tiny atoms, be made of small units, comprise microscopic elements
considered	意味: 考えられた；熟慮された\n基本形: consider\nアクセント: kən-SĬD-ərd\n類義語: regarded, thought, viewed
immutable	意味: 不変の；変えることのできない\nアクセント: ĭ-MŪ-tə-bəl\n類義語: unchangeable, fixed, permanent
visible	意味: 目に見える；可視の\nアクセント: VĬZ-ə-bəl\n類義語: observable, perceivable, apparent
the multiplicity	意味: 多様性；多数；複数性\nアクセント: mŭl-tĭ-PLĬS-ĭ-tē\n類義語: variety, diversity, plurality
particles	意味: 粒子；微粒子；素粒子\n基本形: particle\nアクセント: PÄR-tĭ-kəlz\n類義語: atoms, units, elements
hence	意味: したがって；ゆえに；このため\nアクセント: hĕns\n類義語: therefore, thus, consequently
configurations	意味: 配置；構成；形状\n基本形: configuration\nアクセント: kən-fĭg-yə-RĀ-shənz\n類義語: arrangements, structures, formations
essence	意味: 本質；本体；エッセンス\nアクセント: ĔS-əns\n類義語: nature, core, substance
an analytical doctrine	意味: 分析的な学説；解析的な教義\n類義語: a reductionist theory, an analytical theory, a decompositional doctrine
regards	意味: 〜を見なす；〜と考える；配慮\n基本形: regard\nアクセント: rĭ-GÄRDZ\n類義語: views, considers, treats as
observable	意味: 観察できる；目に見える\nアクセント: əb-ZÛRV-ə-bəl\n類義語: perceivable, detectable, measurable
holistic theories	意味: 全体論的な理論；ホーリスティックな理論\nアクセント: hō-LĬS-tĭk\n類義語: comprehensive theories, unified theories, systemic frameworks
terms of qualities displayed	意味: 表示される性質の観点から；現れる特質に基づいて\n類義語: in terms of observable properties, regarding the qualities exhibited
atomism explains	意味: 原子論は〜を説明する\n類義語: atomic theory accounts for, atomistic doctrine clarifies
the observable properties	意味: 観察可能な特性；目に見える性質\n類義語: detectable qualities, measurable characteristics, visible traits
components	意味: 構成要素；部品；成分\n基本形: component\nアクセント: kəm-PŌ-nənts\n類義語: elements, parts, constituents
distinguish	意味: 区別する；識別する；見分ける\nアクセント: dĭ-STĬNG-gwĭsh\n類義語: differentiate, discern, tell apart
the strict sense	意味: 厳密な意味；狭い意味\n類義語: the narrow meaning, the precise definition, the rigorous interpretation
absolutely indivisible, qualitatively identical	意味: 絶対に分割できない、性質的に同一の\nアクセント: ĭn-dĭ-VĬZ-ə-bəl\n類義語: completely inseparable and identical in quality, indivisible and uniform
