converge	意味: 収束する；一点に集まる\nアクセント: kən-VURJ\n類義語: come together, meet, merge
somewhere else	意味: ほかの場所で\nアクセント: SUM-wair els\n類義語: elsewhere, in another place, at a different location
collide	意味: 衝突する\nアクセント: kə-LĪD\n類義語: crash, hit, impact
head-on	意味: 正面から\nアクセント: hed-ÔN\n類義語: directly, face-to-face, frontal
along	意味: ～に沿って\nアクセント: ə-LÔNG\n類義語: alongside, beside, following
convergent	意味: 収束する；収束性の\nアクセント: kən-VUR-jənt\n類義語: approaching, meeting, unifying
boundaries	意味: 境界（複数）\n基本形: boundary\nアクセント: BOUN-də-rēz\n類義語: borders, limits, margins
A profusion of geologic activities	意味: 地質活動の豊富な発生\nアクセント: ə prə-FYŪ-zhən əv jē-ə-LÄJ-ik ak-TIV-ə-tēz\n類義語: abundant geologic activity, numerous tectonic events, intense geological processes
associated with	意味: ～に関連した\nアクセント: ə-SŌ-shē-ā-təd with\n類義語: linked to, related to, connected with
sinks	意味: 沈み込む\n基本形: sink\nアクセント: SINGKS\n類義語: descends, submerges, drops
beneath	意味: ～の下に\nアクセント: bə-NĒTH\n類義語: under, below, underneath
subduction	意味: 沈み込み（作用）\nアクセント: sebä-DUK-shən\n類義語: plate underthrusting, sinking process, tectonic descent
lithosphere	意味: 岩石圏\nアクセント: LITH-ə-sfēr\n類義語: rigid shell, crust-mantle lid, tectonic plate layer
descends	意味: 下降する\n基本形: descend\nアクセント: di-SENDZ\n類義語: sinks, drops, moves downward
asthenosphere	意味: アセノスフェア；軟流圏\nアクセント: as-THĒ-nə-sfēr\n類義語: weak mantle layer, ductile zone, plastic upper mantle
buckling	意味: 座屈；たわみ\n基本形: buckle\nアクセント: BUK-ling\n類義語: bending, warping, crumpling
produces	意味: 生み出す\n基本形: produce\nアクセント: prə-DŪS\n類義語: generates, creates, forms
narrow	意味: 狭い\nアクセント: NAR-ō\n類義語: thin, tight, confined
trench	意味: 海溝\nアクセント: TRENCH\n類義語: ocean trench, deep trough, subduction trench
reaches	意味: 達する\n基本形: reach\nアクセント: RĒ-chəz\n類義語: attains, extends to, gets to
depths	意味: 深部；深さ（複数）\n基本形: depth\nアクセント: DEPTHS\n類義語: deep levels, profound zones, deep regions
edge	意味: 端；縁\nアクセント: EJ\n類義語: margin, rim, border
overriding	意味: 上に乗る；上盤側の\n基本形: override\nアクセント: ō-vər-RĪD\n類義語: overlying, superposed, dominant
crumpled	意味: しわくちゃになった；押しつぶされた\n基本形: crumple\nアクセント: KRUM-pəld\n類義語: folded, wrinkled, compressed
uplifted	意味: 隆起した\n基本形: uplift\nアクセント: UP-lift-id\n類義語: raised, elevated, upthrown
roughly parallel to the trench	意味: 海溝にほぼ平行して\nアクセント: RUF-lē PAR-ə-lel tū thə trench\n類義語: nearly parallel to the trench, approximately aligned with the trench, almost trench-parallel
enormous	意味: 莫大な；巨大な\nアクセント: i-NÔR-məs\n類義語: huge, immense, massive
forces	意味: 力（複数）；力を加える\n基本形: force\nアクセント: FÔR-səz\n類義語: pressures, stresses, drives
collision	意味: 衝突\nアクセント: kə-LIZH-ən\n類義語: impact, crash, clash
subduction	意味: 沈み込み（作用）\nアクセント: səb-DUK-shən\n類義語: plate underthrusting, sinking process, tectonic descent
scraped off	意味: こそぎ取られた\n基本形: scrape off\nアクセント: skrāpt ÔF\n類義語: stripped away, peeled off, removed
descending	意味: 下降する\n基本形: descend\nアクセント: di-SEN-ding\n類義語: sinking, dropping, moving downward
slab	意味: 岩板；スラブ\nアクセント: SLAB\n類義語: plate fragment, block, sheet
incorporated into	意味: ～に取り込まれた\n基本形: incorporate into\nアクセント: in-KÔR-pə-rā-təd in-tū\n類義語: absorbed into, integrated into, included in
adjacent	意味: 隣接した\nアクセント: ə-JĀ-sənt\n類義語: neighboring, nearby, adjoining
Imagine	意味: 想像しなさい\nアクセント: i-MAJ-ən\n類義語: envision, picture, suppose
geologist	意味: 地質学者\nアクセント: jē-ÄL-ə-jist\n類義語: earth scientist, stratigrapher, geoscientist
attempting	意味: 試みている\n基本形: attempt\nアクセント: ə-TEMPT-ing\n類義語: trying, endeavoring, seeking
figure out	意味: 理解する；解明する\nアクセント: FIG-yər out\n類義語: determine, understand, solve
tangled	意味: もつれた\n基本形: tangle\nアクセント: TANG-gəld\n類義語: twisted, knotted, interwoven
subduction	意味: 沈み込み（作用）\nアクセント: səb-DUK-shən\n類義語: plate underthrusting, sinking process, tectonic descent
descending	意味: 下降する\n基本形: descend\nアクセント: di-SEN-ding\n類義語: sinking, dropping, moving downward
melt	意味: 溶ける；溶かす\nアクセント: MELT\n類義語: liquefy, dissolve, fuse
floats	意味: 浮かぶ\n基本形: float\nアクセント: FLŌTS\n類義語: rises, drifts, stays buoyant
upward	意味: 上向きに\nアクセント: UP-wərd\n類義語: upwardly, skyward, aloft
reach	意味: 到達する\nアクセント: RĒCH\n類義語: attain, arrive at, extend to
erupt from volcanoes	意味: 火山から噴出する\nアクセント: i-RUPT frəm väl-KĀ-nōz\n類義語: issue from volcanoes, spew from volcanoes, burst out of volcanoes
Recall	意味: 思い出す\nアクセント: ri-KÔL\n類義語: remember, bring to mind, recollect
divergent zones	意味: 発散境界帯\nアクセント: dī-VUR-jənt zōnz\n類義語: spreading zones, rift zones, divergent boundaries
lithosphere	意味: 岩石圏\nアクセント: LITH-ə-sfēr\n類義語: rigid shell, crust-mantle lid, tectonic plate layer
Subduction zones	意味: 沈み込み帯\nアクセント: səb-DUK-shən zōnz\n類義語: convergent margins, subduction regions, trench zones
boundaries	意味: 境界（複数）\n基本形: boundary\nアクセント: BOUN-də-rēz\n類義語: borders, limits, margins
convergence	意味: 収束\nアクセント: kən-VUR-jəns\n類義語: meeting, coming together, merging
lithosphere	意味: 岩石圏\nアクセント: LITH-ə-sfēr\n類義語: rigid shell, crust-mantle lid, tectonic plate layer
consumed	意味: 消費された；使い尽くされた\n基本形: consume\nアクセント: kən-SŪMD\n類義語: used up, depleted, absorbed
