1	in the Hat	意味: 帽子の中に（「帽子の中の猫」というタイトルの一部）\n類義語: wearing a hat, the hat character, Cat in the Hat reference	audio/001_in_the_hat.mp3
2	follows	意味: 〜に続く；後に来る；従う\n基本形: follow\nアクセント: FŎL-ōz\n類義語: comes after, proceeds, pursues	audio/002_follows.mp3
3	boredom	意味: 退屈；倦怠感\nアクセント: BÔR-dəm\n類義語: tedium, monotony, dullness	audio/003_boredom.mp3
4	interrupted	意味: 邪魔された；中断された\n基本形: interrupt\nアクセント: ĭn-tə-RŬPT-ĭd\n類義語: disrupted, halted, intruded upon	audio/004_interrupted.mp3
5	a mischievous cat in a tall striped hat	意味: 縞模様の高い帽子をかぶったいたずらな猫\nアクセント: MĬS-chĭ-vəs\n類義語: a troublemaking feline, a playful cat character	audio/005_a_mischievous_cat_in_a_tall_striped_hat.mp3
6	enters	意味: 入る；登場する；参入する\n基本形: enter\nアクセント: ĔN-tərz\n類義語: comes in, arrives, appears	audio/006_enters.mp3
7	brings chaos	意味: 混乱をもたらす；騒動を引き起こす\n類義語: creates disorder, causes mayhem, brings havoc	audio/007_brings_chaos.mp3
8	from within the red box emerge Thing One and Thing Two	意味: 赤い箱の中からシングワンとシングツーが現れる\n類義語: Thing One and Thing Two appear from the red box	audio/008_from_within_the_red_box_emerge_thing_one_and_thing_two.mp3
9	twin-like	意味: 双子のような；対になった\n類義語: paired, matching, identical-looking	audio/009_twin_like.mp3
10	behavior shocks	意味: 行動が衝撃を与える；ふるまいが驚かせる\n類義語: conduct startles, actions alarm, behavior surprises	audio/010_behavior_shocks.mp3
11	family's talking fish	意味: 家族の話すことができる魚\n類義語: the speaking fish, the household fish, the moral fish	audio/011_family_s_talking_fish.mp3
12	serves as a voice of reason and responsibility	意味: 理性と責任の声として機能する\n類義語: acts as a moral guide, represents reason, embodies responsibility	audio/012_serves_as_a_voice_of_reason_and_responsibility.mp3
13	playful	意味: 遊び心のある；おどけた；楽しい\nアクセント: PLĀ-fəl\n類義語: fun, lighthearted, whimsical	audio/013_playful.mp3
14	nonsense	意味: ナンセンス；無意味；馬鹿げたこと\nアクセント: NŎN-sĕns\n類義語: absurdity, silliness, gibberish	audio/014_nonsense.mp3
15	concerns about early education	意味: 早期教育に関する懸念\n類義語: worries about early learning, issues with beginning education	audio/015_concerns_about_early_education.mp3
16	considered dull	意味: 退屈だと考えられていた\n類義語: thought to be boring, viewed as uninteresting, regarded as dull	audio/016_considered_dull.mp3
17	critics worried	意味: 批評家たちが心配した\n類義語: reviewers were concerned, commentators expressed worry, analysts feared	audio/017_critics_worried.mp3
18	challenge to create a lively story	意味: 生き生きとした話を作る挑戦\n類義語: task of writing an engaging story, effort to craft a vivid narrative	audio/018_challenge_to_create_a_lively_story.mp3
19	boring	意味: 退屈な；面白みのない\nアクセント: BÔR-ĭng\n類義語: dull, tedious, uninteresting	audio/019_boring.mp3
20	rhythmic rhymes	意味: リズミカルな韻；リズムのある詩\nアクセント: RĬTH-mĭk rīmz\n類義語: melodic verse, metered poetry, cadenced lines	audio/020_rhythmic_rhymes.mp3
21	made learning to read engaging and fun	意味: 読むことを学ぶことを魅力的で楽しいものにした\n類義語: made reading enjoyable, transformed reading into fun, made literacy engaging	audio/021_made_learning_to_read_engaging_and_fun.mp3
22	awarded	意味: 授与された；表彰された\n基本形: award\nアクセント: ə-WÔRD-ĭd\n類義語: given, presented, honored	audio/022_awarded.mp3
23	citation	意味: 表彰；引用；言及\nアクセント: sī-TĀ-shən\n類義語: commendation, award, reference	audio/023_citation.mp3
24	contribution	意味: 貢献；寄与；寄付\nアクセント: kŏn-trĭ-BŪ-shən\n類義語: input, service, offering	audio/024_contribution.mp3
25	inspire	意味: 鼓舞する；インスピレーションを与える；刺激する\nアクセント: ĭn-SPĪR\n類義語: motivate, stimulate, encourage	audio/025_inspire.mp3
26	joy and literacy	意味: 喜びと識字能力\n類義語: delight and reading ability, happiness and education, pleasure and learning	audio/026_joy_and_literacy.mp3
27	remains not only a beloved tale but also a landmark in the history of children's books	意味: 愛されている物語であるだけでなく、児童書の歴史における画期的な作品であり続けている\n類義語: endures as both a cherished story and a milestone in children's literature	audio/027_remains_not_only_a_beloved_tale_but_also_a_landmark_in_the_history_of_children_s_books.mp3
