encompasses	意味: 含む；網羅する\n基本形: encompass\nアクセント: en-KUM-pəs\n類義語: includes, covers, embraces
preparation	意味: 準備\nアクセント: prep-ə-RĀ-shən\n類義語: readiness, planning, arrangement
prevention	意味: 予防\nアクセント: pri-VEN-shən\n類義語: avoidance, deterrence, prophylaxis
injury	意味: けが；損傷\nアクセント: IN-jə-rē\n類義語: wound, harm, trauma
diagnosis	意味: 診断\nアクセント: dī-əg-NŌ-səs\n類義語: identification, assessment, medical judgment
injury	意味: けが；損傷\nアクセント: IN-jə-rē\n類義語: wound, harm, trauma
involves	意味: 含む；伴う\n基本形: involve\nアクセント: in-VOLV\n類義語: includes, entails, requires
certain	意味: 特定の；確かな\nアクセント: SUR-tən\n類義語: specific, definite, particular
cardiac	意味: 心臓の\nアクセント: KÄR-dē-ak\n類義語: heart-related, coronary, cardiovascular
oxygen	意味: 酸素\nアクセント: ÄK-sə-jən\n類義語: O2, breathable gas, oxidizer
intake	意味: 摂取；取り込み\nアクセント: IN-tāk\n類義語: consumption, ingestion, uptake
discipline	意味: 規律；鍛錬\nアクセント: DIS-ə-plən\n類義語: self-control, training, rigor
to train regularly	意味: 定期的に訓練する\nアクセント: tū trān REG-yə-lər-lē\n類義語: exercise routinely, practice consistently, work out regularly
avoiding	意味: 避けること\n基本形: avoid\nアクセント: ə-VOID\n類義語: preventing, steering clear of, evading
undue risks	意味: 過度な危険\nアクセント: un-DYŪ risks\n類義語: excessive dangers, unnecessary hazards, improper risks
Practitioners	意味: 実務者；専門家（複数）\n基本形: practitioner\nアクセント: prak-TISH-ə-nərz\n類義語: professionals, clinicians, experts
manufacturers	意味: 製造業者（複数）\n基本形: manufacturer\nアクセント: man-yə-FAK-chər-ərz\n類義語: producers, makers, fabricators
equipment	意味: 装備；機器\nアクセント: i-KWIP-mənt\n類義語: gear, apparatus, tools
promotes	意味: 促進する；推進する\n基本形: promote\nアクセント: prə-MŌT\n類義語: encourages, advances, supports
boost	意味: 高める；増強する\nアクセント: BŪST\n類義語: increase, raise, enhance
endurance	意味: 持久力\nアクセント: en-DYOOR-əns\n類義語: stamina, resilience, staying power
providing	意味: 提供すること\n基本形: provide\nアクセント: prə-VĪD\n類義語: giving, supplying, offering
protection	意味: 保護\nアクセント: prə-TEK-shən\n類義語: defense, safeguard, security
friction	意味: 摩擦\nアクセント: FRIK-shən\n類義語: resistance, drag, rubbing
resistance	意味: 抵抗\nアクセント: ri-ZIS-təns\n類義語: opposition, hindrance, obstruction
Nutrition	意味: 栄養\nアクセント: nū-TRISH-ən\n類義語: nourishment, diet, sustenance
aspect	意味: 側面；観点\nアクセント: AS-pekt\n類義語: facet, dimension, angle
wrong	意味: 間違った\nアクセント: RÔNG\n類義語: incorrect, mistaken, improper
seriously impair	意味: 深刻に損なう\nアクセント: SIR-ē-əs-lē im-PAIR\n類義語: severely damage, greatly weaken, significantly reduce
counseling	意味: カウンセリング\n基本形: counsel\nアクセント: KOUN-sə-ling\n類義語: guidance, consultation, therapy
ensure	意味: 確実にする\nアクセント: en-SHOOR\n類義語: guarantee, secure, make certain
nutrient adequacy	意味: 栄養の十分性\nアクセント: NŪ-trē-ənt AD-ə-kwə-sē\n類義語: sufficient nutrition, nutrient sufficiency, dietary adequacy
carbohydrate	意味: 炭水化物\nアクセント: kär-BŌ-hī-drāt\n類義語: carbs, saccharides, starches
distribution	意味: 分配；分布\nアクセント: dis-trə-BYŪ-shən\n類義語: allocation, spread, apportionment
fluid	意味: 体液；流体\nアクセント: FLŪ-id\n類義語: liquid, bodily fluid, moisture
intake	意味: 摂取量\nアクセント: IN-tāk\n類義語: consumption, ingestion, uptake
performance-enhancing	意味: 成績向上の；パフォーマンスを高める\nアクセント: pər-FÔR-məns en-HAN-sing\n類義語: ergogenic, ability-boosting, output-improving
drugs	意味: 薬物（複数）\n基本形: drug\nアクセント: DRUGZ\n類義語: substances, medications, narcotics
amphetamines	意味: アンフェタミン類\n基本形: amphetamine\nアクセント: am-FET-ə-mēnz\n類義語: stimulants, uppers, speed
anabolic steroids	意味: 同化ステロイド\n基本形: anabolic steroid\nアクセント: an-ə-BOL-ik STER-oidz\n類義語: synthetic hormones, performance steroids, anabolic agents
practitioners	意味: 実務者；専門職（複数）\n基本形: practitioner\nアクセント: prak-TISH-ə-nərz\n類義語: professionals, clinicians, specialists
prepared to	意味: ～する準備ができている\n基本形: prepare to\nアクセント: pri-PERD tū\n類義語: ready to, equipped to, set to
serious	意味: 深刻な；重大な\nアクセント: SIR-ē-əs\n類義語: severe, grave, critical
associated	意味: 関連した；結びついた\n基本形: associate\nアクセント: ə-SŌ-shē-ā-təd\n類義語: related, linked, connected
